سؤال	إجابة	context
ما هو شرح بعض الأحكام المتعلقة بنفقة الزوجة؟	لا تسقط نفقة الزوجة المقيمة في بيت الزوجية التي خرجت منه في الأحوال التي يباح فيها الخروج شرعاً، ولا تسقط نفقة الزوجة المشغلة إذا كان دخلها لا يكفي لسد احتياجاتها الضرورية، وتقدر نفقة الزوجة حسب قدرة الزوج المالية وظروف الزوجة المعيشية.	الفقرة الخامسة
ما هي الإجراءات المتبعة لطلب نفقة الزوجة؟	ترفع دعوى نفقة الزوجة أمام المحكمة المختصة، وتثبت الزوجة في دعواها قيام علاقة الزوجية بينها وبين زوجها، وأنها مازالت مقيمة في بيت الزوجية، وأنها لا تعمل أو أن دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة السادسة
ماذا يحدث في حالة صدور حكم بفرض النفقة؟	يكون الزوج ملزماً بالإنفاق على زوجته طبقاً للحكم الصادر.	الفقرة السادسة
		
سؤال	جواب	سياق
هل تسقط نفقة الزوجة في حال خروجها من بيت الزوجية بدون علم زوجها؟	نعم، تسقط نفقة الزوجة في حال خروجها من بيت الزوجية بدون علم زوجها، إلا إذا خرجت في الأحوال التي يباح فيها الخروج شرعاً.	الفقرة الثالثة
هل تعتبر نفقة الزوجة ديناً على الزوج؟	نعم، تعتبر نفقة الزوجة ديناً على الزوج من تاريخ امتناعه عن الإنفاق مع وجوبه.	الفقرة الرابعة
هل يمكن للزوجة المطالبة بنفقة عن مدة ماضية أكثر من سنة؟	لا، لا يمكن للزوجة المطالبة بنفقة عن مدة ماضية أكثر من سنة تالية لتاريخ رفع الدعوى.	الفقرة الرابعة
هل يمكن للزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها؟	نعم، يمكن للزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها إلا بقدر ما يفي بحاجتها الضرورية.	الفقرة الرابعة
ما هي الأولوية في حالة وجود ديون أخرى على الزوج؟	لنفقة الزوجة امتياز على جميع أموال الزوج، ويتقدم في مرتبته على ديون النفقة الأخرى.	الفقرة الرابعة
كيف يتم تقدير نفقة الزوجة؟	تقدر نفقة الزوجة حسب قدرة الزوج المالية وظروف الزوجة المعيشية.	الفقرة الخامسة
هل يمكن للزوجة العاملة المطالبة بنفقة؟	نعم، يمكن للزوجة العاملة المطالبة بنفقة إذا كان دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة الخامسة
ما هي الإجراءات المتبعة لرفع دعوى نفقة الزوجة؟	ترفع دعوى نفقة الزوجة أمام المحكمة المختصة، وتثبت الزوجة في دعواها قيام علاقة الزوجية بينها وبين زوجها، وأنها مازالت مقيمة في بيت الزوجية، وأنها لا تعمل أو أن دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة السادسة
هل هناك مهلة محددة للبت في دعوى نفقة الزوجة؟	لا توجد مهلة محددة للبت في دعوى نفقة الزوجة، لكن عادةً يتم البت فيها في غضون بضعة أشهر.	الفقرة السادسة
ما هو الوضع إذا رفض الزوج دفع النفقة؟	في حال رفض الزوج دفع النفقة، يمكن للزوجة اللجوء إلى التنفيذ الإجباري، حيث يقوم القضاء بإجبار الزوج على دفع النفقة.	الفقرة السادسة
		
سؤال	جواب	سياق
ما هي المدة التي يجوز فيها للزوجة مطالبة النفقة المتأخرة؟	يجوز للزوجة مطالبة النفقة المتأخرة عن مدة سنة تالية لتاريخ رفع الدعوى.	الفقرة الرابعة
هل يجوز للزوجة طلب المقاصة بين نفقة الزوجة وبين دين له عليها؟	لا يقبل من الزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها إلا بقدر ما يفي بحاجتها الضرورية.	الفقرة الرابعة
ما هي الأولوية الممنوحة لنفقة الزوجة بالنسبة إلى ديون الزوج الأخرى؟	لنفقة الزوجة امتياز على جميع أموال الزوج، ويتقدم في مرتبته على ديون النفقة الأخرى.	الفقرة الرابعة
ما هي الحالات التي لا تسقط فيها نفقة الزوجة المقيمة في بيت الزوجية؟	لا تسقط نفقة الزوجة المقيمة في بيت الزوجية التي خرجت منه في الأحوال التي يباح فيها الخروج شرعاً، مثل خروجها للعمل أو لزيارة أهلها أو لأداء فريضة دينية.	الفقرة الخامسة
في أي الحالات لا تسقط نفقة الزوجة المشغلة؟	لا تسقط نفقة الزوجة المشغلة إذا كان دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة الخامسة
كيف يتم تقدير مقدار نفقة الزوجة؟	تقدر نفقة الزوجة حسب قدرة الزوج المالية وظروف الزوجة المعيشية.	الفقرة الخامسة
ما هي الإجراءات المتبعة لرفع دعوى نفقة الزوجة؟	يجب رفع دعوى نفقة الزوجة أمام المحكمة المختصة، وتثبت الزوجة في دعواها قيام علاقة الزوجية بينها وبين زوجها، وأنها مازالت مقيمة في بيت الزوجية، وأنها لا تعمل أو أن دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة السادسة
ما هي الأوراق المطلوبة لرفع دعوى نفقة الزوجة؟	تختلف الأوراق المطلوبة لرفع دعوى نفقة الزوجة حسب المحكمة المختصة، ولكنها تشمل عادةً صورة ضوئية من عقد الزواج، وصورة ضوئية من بطاقة الهوية للزوجة والزوج، وإثباتاً لعدم وجود دخل للزوجة أو أن دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة السادسة
ما هي المدة التي تستغرقها إجراءات رفع دعوى نفقة الزوجة؟	تختلف المدة التي تستغرقها إجراءات رفع دعوى نفقة الزوجة حسب المحكمة المختصة، ولكنها عادةً ما تستغرق عدة أشهر.	الفقرة السادسة
ما هي الإجراءات المتبعة لتنفيذ حكم نفقة الزوجة؟	في حال صدور حكم لصالح الزوجة، يجب عليها إبلاغ الزوج بالحكم، وإذا لم يقم الزوج بدفع النفقة، يمكن للزوجة طلب تنفيذ الحكم من خلال المحكمة المختصة.	الفقرة السادسة
		
سؤال	جواب	سياق
ما هي مدة التقادم لسقوط نفقة الزوجة؟	لا تسمع دعوى النفقة عن مدة ماضية أكثر من سنة تالية لتاريخ رفع الدعوى.	الفقرة الرابعة
هل يمكن للزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها؟	لا يقبل من الزوج طلب المقاصة بين نفقة الزوجة وبين دين له عليها إلا بقدر ما يفي بحاجتها الضرورية.	الفقرة الرابعة
ما هي امتيازات نفقة الزوجة؟	لنفقة الزوجة امتياز على جميع أموال الزوج، ويتقدم في مرتبته على ديون النفقة الأخرى.	الفقرة الرابعة
في أي الحالات تسقط نفقة الزوجة المقيمة في بيت الزوجية؟	لا تسقط نفقة الزوجة المقيمة في بيت الزوجية التي خرجت منه في الأحوال التي يباح فيها الخروج شرعاً، مثل خروجها للعمل أو لزيارة أهلها أو لأداء فريضة دينية.	الفقرة الخامسة
في أي الحالات لا تسقط نفقة الزوجة المشغلة؟	لا تسقط نفقة الزوجة المشغلة إذا كان دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة الخامسة
كيف تقدر نفقة الزوجة؟	تقدر نفقة الزوجة حسب قدرة الزوج المالية وظروف الزوجة المعيشية.	الفقرة الخامسة
ما هي الإجراءات المتبعة لطلب نفقة الزوجة؟	ترفع دعوى نفقة الزوجة أمام المحكمة المختصة، وتثبت الزوجة في دعواها قيام علاقة الزوجية بينها وبين زوجها، وأنها مازالت مقيمة في بيت الزوجية، وأنها لا تعمل أو أن دخلها لا يكفي لسد احتياجاتها الضرورية.	الفقرة السادسة
ماذا يحدث في حالة صدور حكم بفرض النفقة؟	يكون الزوج ملزماً بالإنفاق على زوجته طبقاً للحكم الصادر.	الفقرة السادسة
هل يمكن للزوجة طلب نفقة المتعة؟	نعم، يمكن للزوجة طلب نفقة المتعة إذا كان طلاقها رجعياً أو بائناً، وتقدر نفقة المتعة حسب قدرة الزوج المالية وظروف الزوجة المعيشية.	الفقرة السابعة
هل يمكن للزوجة طلب نفقة الأولاد؟	نعم، يمكن للزوجة طلب نفقة الأولاد إذا كان طلاقها رجعياً أو بائناً، وتقدر نفقة الأولاد حسب قدرة الزوج المالية وظروف الأولاد المعيشية.	الفقرة الثامنة
